heCode,name,before,after
"HE-N-B-B13","湖绿底国色天香牡丹蝴蝶方形绣片","通用节庆商务礼品汉绣小品","当代复原"
"HE-N-B-B11","湖蓝底描金牡丹绣片","仿古青花瓷风格汉绣","当代"
"HE-H-B-M02","湘莲闹三棒鼓舞民俗人物汉绣","湖北非遗民俗文化主题装饰绣片","当代复原"
"HE-N-B-M06","浅灰底牡丹八宝吉祥纹衣饰汉绣","传统女装衣饰复原绣片","当代复原（参考民国）"
"HE-N-L-A13","盘金凤凰羽翼局部绣","非遗盘金工艺示范绣品","当代"
"HE-N-B-R02","朱红底福字花卉蝙蝠方形绣片","新春贺岁文创绣片","当代"
"HE-N-B-B05","黑底福寿瓜果彩蝶方形装饰汉绣","祝寿、乔迁通用软装绣片","当代复原"
"HE-N-L-B01","白地粉荷蜜蜂小品汉绣","书房极简文人花卉小品","当代复原"
"HE-N-B-M02","紫花对条浅白底戏服汉绣","当代戏曲服饰侧边装饰绣片","当代复原"
"HE-N-B-B08","紫龙戏珠蓝底装饰绣片","国风软装壁挂绣片","当代复原"
"HE-N-B-R04","红底松鼠葡萄对幅汉绣","传统子孙绵延花鸟民俗题材当代汉绣复刻","当代复原（参考清代）"
"HE-H-B-R09","红底金线青绿五爪龙圆团绣片","现代婚庆、庆典喜庆国风圆绣片","当代复原"
"HE-H-S-R08","红底金线黄鹤楼双凤楚纹汉绣","荆楚文化主题大型装饰汉绣","当代"
"HE-N-B-B07","八鹤祥云黑檀镂空圆台屏","长辈祝寿礼品文创汉绣摆件","当代复原"
"HE-N-L-M08","翠竹双绶带鸟白地绣片","现代文人花鸟小品汉绣","现代"
"HE-N-B-R07","荣华富贵牡丹蝴蝶圆台屏","商务、新春通用喜庆礼品汉绣摆件","当代复原"
"HE-N-L-M01","荷塘双鹤汉绣","当代湖湘清雅文人花鸟汉绣","当代复原"
"HE-N-S-B04","蓝底金凤牡丹展陈汉绣","当代非遗展览主题汉绣","当代复原"
"HE-N-B-M13","蓝白牡丹对称黑底绣片","传统袄服对襟装饰绣片","当代复原"
"HE-N-B-B06","蓝调青花百花蝴蝶长款竖幅汉绣","新中式长款竖幅软装绣品","当代复原"
"HE-H-B-R03","红底蝶仙游鱼神话装饰汉绣","婚嫁喜庆国风壁挂绣片","当代复原"
"HE-N-B-M09","浅白底蝶恋花牡丹圆形绣片","新中式简约文创圆绣","现代"
"HE-H-S-R01","红底西十七座降龙尊者人物汉绣","佛教文化主题纪念装饰绣片","当代复原"
"HE-H-S-A03","金线黄鹤楼云鹤圆形装饰绣片","高端城市纪念圆绣摆件","当代"
"HE-N-B-R06","银杏双喜鹊粉底黑檀圆台屏","新婚、乔迁伴手礼文创汉绣摆件","当代复原"
"HE-N-B-M08","银杏三锦鲤圆片绣","现代简约文创圆绣片","当代复原"
"HE-N-B-R05","锦鸡牡丹红底汉剧服饰绣片","传统汉剧旦角戏服装饰绣片","当代复原"
"HE-N-B-M15","楚式对称凤鹿复古白地汉绣","荆楚楚文化复原主题现代汉绣","当代复原（参考战国）"
"HE-N-B-B02","青蓝蝶恋花绣球汉绣","现代节庆圆台屏绣芯","当代复原"
"HE-H-L-M11","仿古青铜花觚对幅汉绣","仿古博古题材非遗汉绣","当代"
"HE-N-B-M04","浅白底鸳鸯荷花繁花方形绣片","婚嫁专用软装绣片","当代复原"
"HE-H-B-M01","麒麟送子圆补汉绣","复刻清代传统补子纹样，当代复原绣品","当代复原（参考明清）"
"HE-H-B-R02","红底麻姑献寿人物祝寿汉绣","长辈贺寿高端礼品壁挂绣片","当代复原"
"HE-H-S-B15","黑底满铺楚凤云水横向大型壁挂汉绣","荆楚文化展馆大型主题装饰汉绣","当代复原（参考战国）"
"HE-H-L-A14","黑底盘金楚白虎圆形工艺展示绣片","楚文化仿古工艺展示绣品","当代复原（参考战国）"
"HE-H-B-A12","黑底金线正龙海水江崖绣片","宫廷龙纹复刻汉绣","当代"
"HE-N-B-R08","红底龙凤呈祥戏珠大幅绣片","婚嫁喜庆壁挂绣品","当代复原"
